OBJECTID,SciName,ComName,TaxonGroup,ElmCode,FedList,CalList,GRank,SRank,RPlantRank,OthrStatus,OccNumber,EOndx,Mapndx,ElmDate,SiteDate,Sensitive,OccRank,Presence,Accuracy,AccuracyOrder,Trend,OccType,County,Quad,Elevation,Latitude,Longitude,UTM,PLSS,Location,LocDetails,Ecological,ThreatList,Threat,General_,OwnerMgt,LastUpdate,KeyQuad,UTMZone,UTME,UTMN
24,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,93,83537,82521,20150516,20150516,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),900,34.45906,-119.69176,Zone-11 N3816345 E252734,"T04N, R27W, Sec. 3, NE (S)","RATTLESNAKE CANYON TRAIL, JUST EAST OF MOUNT CALVARY MONASTERY, NORTH OF SANTA BARBARA.","MAPPED ACCORDING TO 2015 MCINTYRE COORDS. INCLUDES LOCALITIES: ""100 YDS S OF SKOFIELD HOUSE"", ""LAS CANOAS RD W OF THE RANCHEROS TRACT"", ""NW SIDE RANCHEROS TRAIL (LAS CANOAS RD)"", ""UPHILL SIDE OF LAS CANOAS RD"", & ""MOUTH OF RATTLESNAKE CYN.""","COASTAL SAGE SCRUB TRANSITIONING TO CHAPARRAL. ACMISPON GLABER, SALVIA MELLIFERA, MALOSMA LAURINA, AND KECKIELLA CORDIFOLIA PRESENT IN COMMUNITY. BURNED WITHIN THE PAST 10 YEARS. CISTUS INCANUS INVADING HEAVILY NEAR TRAIL.",Non-native plant impacts,POSSIBLY THREATENED BY HEAVY INVASION OF CISTUS INCANUS.,"ABOUT 100 PLANTS OBSERVED IN 2015. INCLUDES SEVERAL COLLECTIONS FROM 1941, 1957, 1959, AND 1963. HYBRIDS REPORTED FROM THIS AREA.",CITY OF SANTA BARBARA,11/8/2016 12:00:00 AM,Santa Barbara (3411946),11,252734,3816345
25,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,94,83538,82522,19630920,19630920,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1600,34.46213,-119.67655,Zone-11 N3816649 E254139,"T04N, R27W, Sec. 02, NE (S)","GIBRALTER ROAD, 1.7 MILES UP FROM EL CIELITO ROAD JUNCTION, SANTA BARBARA.",EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB ALONG ROAD IN THE NW 1/4 OF THE NE 1/4 OF SECTION 2.,TYPICAL CHAPARRAL ASSOCIATION.,,,"ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 1963 COLLECTION BY CAVAGNARO, ANNOTATED AS QUERCUS DUMOSA BY NIXON IN 1990. NEEDS FIELDWORK.",UNKNOWN,5/9/2011 12:00:00 AM,Santa Barbara (3411946),11,254139,3816649
26,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,95,83539,82523,20060629,20060629,N,U-Unknown,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),500,34.44655,-119.68249,Zone-11 N3814935 E253548,"T04N, R27W, Sec. 11, NW (S)","SANTA BARBARA: GIBRALTAR ROAD FROM SANTA BARBARA MISSION, STANWOOD DRIVE ACROSS PARMA ROAD.",EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB IN VICINITY OF STANWOOD DRIVE JUNCTION WITH PARMA ROAD. THIS IS SLIGHTLY HIGHER THAN GIVEN ELEVATION OF 90 M (~295 FT).,SHRUB COMMUNITIES STRUCTURED BY QUERCUS DUMOSA AND MALOSMA LAURINA.,,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 2006 COLLECTION BY SANCHEZ-MATA.,UNKNOWN,5/9/2011 12:00:00 AM,Santa Barbara (3411946),11,253548,3814935
27,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,96,83540,82524,19410603,19410603,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),500,34.44418,-119.66471,Zone-11 N3814629 E255175,"T04N, R27W, Sec. 12, W (S)","DIRECTLY ACROSS THE ROAD FROM 309 CHELHAM WAY, MONTECITO.","EXACT LOCATION UNKNOWN, UNABLE TO LOCATE 309 CHELHAM WAY. MAPPED AS BEST GUESS BY CNDDB ALONG ALL OF CHELHAM WAY IN MONTECITO.","WEST-FACING CANYON SLOPE. ASSOCIATED WITH QUERCUS AGRIFOLIA, CEANOTHUS MEGACARPUS, CERCOCARPUS BETULOIDES, AND OTHER CHAPARRAL SPECIES.",,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 1941 COLLECTION BY TUCKER. NEEDS FIELDWORK.,UNKNOWN,5/9/2011 12:00:00 AM,Santa Barbara (3411946),11,255175,3814629
28,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,43,84405,82499,20100805,20100805,N,B-Good,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1250,34.45007,-119.57331,Zone-11 N3815065 E263591,"T04N, R26W, Sec. 11, NE (S)","1020 LADERA LANE, ABOUT 0.4 AIR MILE NNW OF BUELL RESERVOIR, MONTECITO.",IN VICINITY OF AN UNUSED WOODEN WATER TANK AND ASSOCIATED PIPELINE. MAPPED IN THE NW 1/4 OF THE NE 1/4 OF SECTION 11 ACCORDING TO 2010 COORDINATES PROVIDED BY CARROLL.,"SOUTH-FACING SLOPE IN SANDSTONE SUBSTRATE ASSOCIATED WITH QUERCUS DUMOSA, MIMULUS AURANTIACUS, PENNISETUM SETACEUM, SALVIA APIANA, HAZARDIA SQUARROSA, ARCTOSTAPHYLOS GLANDULOSA SSP. MOLLIS, CAREX GLOBOSA, ETC.",Non-native plant impacts | Other,DISTURBANCE FROM ADJACENT WATER TANK AND PIPELINE. INFESTATION OF PENNISETUM SETACEUM.,6 INDIVIDUALS OBSERVED IN 2010.,PVT,7/14/2011 12:00:00 AM,Carpinteria (3411945),11,263591,3815065
29,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,44,84406,83393,19280704,19280704,N,U-Unknown,Presumed Extant,Circular feature with a 600 meter radius (2/5 mile),60,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),2500,34.48378,-119.70773,Zone-11 N3819127 E251339,"T05N, R27W, Sec. 28, E (S)","ABOVE MISSION CANYON, SANTA YNEZ MOUNTAINS.",EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS BEST GUESS AROUND THE PORTION OF MISSION CANYON AT APPROXIMATELY 2500 FEET IN ELEVATION BASED ON THE ELEVATION PROVIDED ON COLLECTION LABEL.,"LOW, OPEN CHAPARRAL.",,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1928 HOFFMANN COLLECTION. NEEDS FIELDWORK.,UNKNOWN,7/14/2011 12:00:00 AM,Santa Barbara (3411946),11,251339,3819127
30,Lonicera subspicata var. subspicata,Santa Barbara honeysuckle,Dicots,PDCPR030R3,None,None,G5T2?,S2?,1B.2,USFS_S-Sensitive,18,86112,82499,20100805,20100805,N,B-Good,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1250,34.45007,-119.57331,Zone-11 N3815065 E263591,"T04N, R26W, Sec. 11, NE (S)","1020 LADERA LANE, ABOUT 0.4 AIR MILE NNW OF BUELL RESERVOIR, MONTECITO.",ALONG DRIVEWAY TO RESIDENCE. MAPPED IN THE NW 1/4 OF THE NE 1/4 OF SECTION 11 ACCORDING TO 2010 COORDINATES PROVIDED BY CARROLL.,"PRESENT ALONG ROADWAY WITH CEANOTHUS MEGACARPUS SSP. MEGACARPUS, CERCOCARPUS BETULOIDES, AND QUERCUS DUMOSA. SANDSTONE SUBSTRATE, SOUTH-FACING SLOPE.",Development | Non-native plant impacts | Wood cutting or brush clearing,"THREATENED BY RESIDENTIAL DEVELOPMENT, VEGETATION CLEARING, AND PENNISETUM SETACEUM AND OTHER WEEDS.","10 PLANTS OBSERVED IN 2010; PLANTS WERE IN TWO LARGE CLUMPS COMPRISED OF LARGE, INTERLOCKING SHRUBS.",PVT,2/10/2012 12:00:00 AM,Carpinteria (3411945),11,263591,3815065
31,Lonicera subspicata var. subspicata,Santa Barbara honeysuckle,Dicots,PDCPR030R3,None,None,G5T2?,S2?,1B.2,USFS_S-Sensitive,19,86113,82501,20071121,20071121,N,B-Good,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1134,34.44248,-119.55978,Zone-11 N3814191 E264813,"T04N, R26W, Sec. 12, SW (S)","RIDGE BORDERING EAST SIDE OF TORO CANYON, ABOUT 1.4 AIR MILES NORTHEAST OF TORO CANYON RESERVOIR, MONTECITO.",PLANTS OBSERVED IN DIFFERENT LOCATIONS THROUGHOUT A ROUGHLY 3 ACRE PRIVATE PROPERTY. MAPPED IN THE NE 1/4 OF THE SW 1/4 OF SECTION 12 ACCORDING TO 2007 COORDINATES PROVIDED BY HOLLY.,"COASTAL SAGE SCRUB. DOMINANT PLANT SPECIES INCLUDE CERCOCARPUS BETULOIDES, HETEROMELES ARBUTIFOLIA, CEANOTHUS MEGACARPUS, ARTEMISIA CALIFORNICA, RIBES MALVACEUM, NICOTIANA GLAUCA, AND MALOSMA LAURINA.",Development | Road/trail construction/maint.,THREATENED BY VEHICLES AND DEVELOPMENT OF NEW ESTABLISHMENTS AND ROADS.,97 PLANTS OBSERVED IN 2007.,PVT,2/10/2012 12:00:00 AM,Carpinteria (3411945),11,264813,3814191
32,Lonicera subspicata var. subspicata,Santa Barbara honeysuckle,Dicots,PDCPR030R3,None,None,G5T2?,S2?,1B.2,USFS_S-Sensitive,20,86114,80224,19440818,19440818,N,U-Unknown,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1300,34.46949,-119.7049,Zone-11 N3817534 E251556,"T05N, R27W, Sec. 34, SW (S)","TUNNEL PORTAL, MISSION CANYON, SANTA YNEZ MOUNTAINS.","EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB NEAR ""SOUTH PORTAL"" IN MISSION CANYON.",BANK.,,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 1944 COLLECTION BY SMITH. NEEDS FIELDWORK.,UNKNOWN,2/10/2012 12:00:00 AM,Santa Barbara (3411946),11,251556,3817534
33,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,11,88884,87915,19220919,19220919,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara | Ventura,Pitas Point (3411934) | White Ledge Peak (3411944),,34.42646,-119.45319,Zone-11 N3812172 E274565,"T04N, R25W, Sec. 13 (S)","RINCON CREEK, SANTA YNEZ MOUNTAINS.",EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS BEST GUESS NON-SPECIFICALLY ALONG THE ENTIRE LENGTH OF RINCON CREEK.,,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1922 BAER COLLECTION. NEEDS FIELDWORK.,UNKNOWN,1/17/2013 12:00:00 AM,White Ledge Peak (3411944),11,274565,3812172
34,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,12,88886,87916,19370712,19370712,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944),,34.40541,-119.48244,Zone-11 N3809903 E271820,"T04N, R25W, Sec. 27, NE (S)","LILLINGSTON CANYON, CARPINTERIA, SANTA YNEZ MOUNTAINS.",EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS BEST GUESS ALONG LILLINGSTON CANYON ROAD. ELEVATION ON COLLECTION LABEL OF 100 FEET IS LOWER THAN ELEVATION ON LILLINGSTON CANYON ROAD (LOWEST ELEVATION ON ROAD IS ~130 FEET).,,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1937 PAYNE COLLECTION. NEEDS FIELDWORK.,UNKNOWN,1/17/2013 12:00:00 AM,White Ledge Peak (3411944),11,271820,3809903
35,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,13,88887,87917,19650803,19650803,N,U-Unknown,Presumed Extant,Circular feature with a 600 meter radius (2/5 mile),60,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),,34.47604,-119.59557,Zone-11 N3817998 E261620,"T05N, R26W, Sec. 34 (S)","BELOW ROMERO SADDLE, 2/3 WAY DOWN JUNCAL ROAD, SANTA YNEZ MOUNTAINS.","EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS BEST GUESS AT ROMERO SADDLE. UNSURE WHERE ""2/3 WAY DOWN JUNCAL ROAD"" WOULD BE LOCATED.",,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1965 ALLEN COLLECTION. NEEDS FIELDWORK.,USFS-LOS PADRES NF,1/17/2013 12:00:00 AM,Carpinteria (3411945),11,261620,3817998
36,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,14,88893,87918,19740525,19740525,N,U-Unknown,Presumed Extant,Circular feature with a 300 meter radius (1/5 mile),50,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1600,34.46572,-119.66429,Zone-11 N3817018 E255277,"T05N, R27W, Sec. 36, SW (S)","WEST FORK OF COLD SPRING TRAIL, BETWEEN COLD SPRING CANYON AND RATTLESNAKE CANYON, SANTA YNEZ MOUNTAINS.","COLLECTION LABEL STATES: ""TOP FLAT OF BURN, 150 YARDS N OF POWER TOWERS AND W EDGE OF BURN."" MAPPED BY CNDDB BASED ON LOCATION DESCRIPTION ON OTHER COWAN COLLECTIONS FROM ""WEST FORK OF COLD SPRING TRAIL"" AND AN ELEVATION OF 1600 FT.","ROCKY, WELL-DRAINED SOIL WITH HELIANTHEMUM SCOPARIUM AND SALVIA MELLIFERA.",,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1974 COWAN COLLECTION. NEEDS FIELDWORK.,CITY OF SANTA BARBARA?,1/17/2013 12:00:00 AM,Santa Barbara (3411946),11,255277,3817018
37,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,15,88894,87919,19660616,19660616,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1000,34.46231,-119.65209,Zone-11 N3816609 E256388,"T04N, R26W, Sec. 06, NW (S)","TRAIL IN EAST FORK COLD SPRING CANYON, MONTECITO, SANTA YNEZ MOUNTAINS.","""ABOVE LAST CREEK CROSSING."" MAPPED BY CNDDB AS BEST GUESS AROUND THE PORTION OF COLD SPRING TRAIL IN EAST FORK COLD SPRING CANYON AT ABOUT 1000 FEET IN ELEVATION BASED ON LOCATION DESCRIPTION AND ELEVATION ON COLLECTION LABEL.",,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1966 POLLARD COLLECTION. NEEDS FIELDWORK.,CITY OF SANTA BARBARA?,1/17/2013 12:00:00 AM,Santa Barbara (3411946),11,256388,3816609
38,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,16,88895,63345,19540820,19540820,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),1100,34.46184,-119.69071,Zone-11 N3816651 E252838,"T04N, R27W, Sec. 03, E (S)","RATTLESNAKE CANYON, SANTA YNEZ MOUNTAINS.",EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS A BEST GUESS AROUND THE PORTION OF RATTLESNAKE CANYON AT ABOUT 1100 FEET IN ELEVATION BASED ON LOCATION DESCRIPTION AND ELEVATION ON COLLECTION LABEL.,,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1954 POLLARD COLLECTION. NEEDS FIELDWORK.,CITY OF SANTA BARBARA?,1/17/2013 12:00:00 AM,Santa Barbara (3411946),11,252838,3816651
39,Monardella hypoleuca ssp. hypoleuca,white-veined monardella,Dicots,PDLAM180A5,None,None,G4T3,S3,1B.3,,17,88896,87920,19510204,19510204,N,U-Unknown,Presumed Extant,Circular feature with a 1000 meter radius (3/5 mile),70,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3400,34.49057,-119.70662,Zone-11 N3819877 E251461,"T05N, R27W, Sec. 28 (S)","LA CUMBRE PEAK, MISSION CANYON, AND LA CUMBRE TRAIL, SANTA YNEZ MOUNTAINS.","MAPPED BY CNDDB TO ENCOMPASS LOCATION DESCRIPTIONS ON COLL LABELS. MCMINN 1923: BETWEEN FLORES FLAT & SUMMIT (3250 FT), HARTWELL 1937: EL CIELO RD NEAR LA CUMBRE PK, DEARING 1940: LA CUMBRE PK (3980 FT), SMITH 1944: LA CUMBRE TRL, 3000 FT.",ROCKY TRAIL.,,,"SITE BASED ON SEVERAL HISTORIC COLLECTIONS FROM 1923, 1937, 1940, 1943, 1944 AND 1951. NEED MAP DETAIL FOR THIS AREA.",UNKNOWN,1/17/2013 12:00:00 AM,Santa Barbara (3411946),11,251461,3819877
40,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,151,94212,27647,19290406,19290406,N,U-Unknown,Presumed Extant,Circular feature with a 1600 meter radius (1 mile),90,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944) | Carpinteria (3411945),,34.39503,-119.5137,Zone-11 N3808822 E268917,"T04N, R25W, Sec. 28 (S)",CARPINTERIA.,EXACT LOCATION UNKNOWN. MAPPED IN GENERAL VICINITY OF CARPINTERIA.,,,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 1929 COLLECTION BY JONES. NEEDS FIELDWORK.,UNKNOWN,7/8/2014 12:00:00 AM,Carpinteria (3411945),11,268917,3808822
41,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,152,94215,93063,19650719,19650719,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),,34.44468,-119.70038,Zone-11 N3814771 E251898,"T04N, R27W, Sec. 10, N (S)","MOUNTAIN DRIVE; WEST OF AND NEAR SHEFFIELD RESERVOIR, AND ON HILLSIDE BELOW TREMONTO RD, SANTA BARBARA.","MAPPED AS BEST GUESS BY CNDDB BASED ON POLLARD COLLECTIONS FROM ""ON MOUNTAIN DR W OF AND NEAR SHEFFIELD RESERVOIR,"" ""ON BORDER OF PRIVATE ESTATE, MOUNTAIN DR, OPPOSITE SHEFFIELD RESERVOIR,"" ""HILLSIDE BELOW MOUNTAIN DR AND TREMONTO RD,"" ETC.",HILLSIDE.,,,"BASED ON SEVERAL POLLARD COLLECTIONS FROM 1957, 1959, AND 1965. TWO COLLECTIONS GIVE ""QUERCUS DUMOSA HYBRID"" AS NAME ON SHEET.",UNKNOWN,12/3/2018 12:00:00 AM,Santa Barbara (3411946),11,251898,3814771
42,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,59,94683,93550,20110803,20110803,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1900,34.48697,-119.53874,Zone-11 N3819078 E266871,"T05N, R25W, Sec. 30, N (S)","VICINITY OF JUNCAL CAMPGROUND, EAST OF BLUE CANYON PASS, SANTA YNEZ MOUNTAINS.",MAPPED BY CNDDB AS 4 POLYGONS ALONG JUNCAL ROAD AND ROMERO CAMUESA ROAD ACCORDING TO 2011 CHRISTOPHER COORDINATES.,ROADSIDE.,Road/trail construction/maint.,POSSIBLY THREATENED BY FUTURE ROADSIDE MOWING.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,USFS-LOS PADRES NF,8/25/2014 12:00:00 AM,Carpinteria (3411945),11,266871,3819078
43,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,60,94684,93551,20110802,20110802,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1775,34.49665,-119.55643,Zone-11 N3820193 E265273,"T05N, R26W, Sec. 24, S (S)","APPROXIMATELY 1.2 AIR MILES NW OF THE JUNCTION OF CAMUESA RD AND JUNCAL RD, NORTH OF BLUE CANYON PASS, SANTA YNEZ MTNS.","MAPPED BY CNDDB AS 2 POLYGONS ALONG ROMERO CAMUESA ROAD ACCORDING TO 2011 CHRISTOPHER COORDINATES, IN THE SOUTH 1/2 OF SECTION 24.",ROADSIDE.,Road/trail construction/maint.,POSSIBLY THREATENED BY FUTURE ROADSIDE MOWING.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,USFS-LOS PADRES NF,8/25/2014 12:00:00 AM,Carpinteria (3411945),11,265273,3820193
44,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,61,94685,93552,20110319,20110319,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3500,34.48909,-119.65982,Zone-11 N3819599 E255755,"T05N, R27W, Sec. 25, NE (S)","EAST CAMINO CIELO, APPROXIMATELY 1.7 AIR MILES EAST OF ITS JUNCTION WITH GIBRALTAR ROAD, SANTA YNEZ MOUNTAINS.","NORTH SIDE OF ROAD. MAPPED BY CNDDB ALONG EAST CAMINO CIELO ACCORDING TO 2011 CHRISTOPHER COORDINATES, IN THE SW 1/4 OF THE NE 1/4 OF SECTION 25.",ROAD SHOULDER.,Road/trail construction/maint. | Wood cutting or brush clearing,FLAGGED AND AVOIDED DURING LOS PADRES NF BRUSHING PROJECT; HOWEVER SBA COUNTY ALSO REGULARLY MOWS THIS AREA.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,CITY OF SANTA BARBARA,8/21/2014 12:00:00 AM,Santa Barbara (3411946),11,255755,3819599
45,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,62,94686,93553,20110319,20110319,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3500,34.48973,-119.6726,Zone-11 N3819701 E254583,"T05N, R27W, Sec. 26, NE (S)","EAST CAMINO CIELO, APPROXIMATELY 1 AIR MILE EAST OF ITS JUNCTION WITH GIBRALTAR ROAD, SANTA YNEZ MOUNTAINS.","MAPPED BY CNDDB ALONG EAST CAMINO CIELO ACCORDING TO 2011 CHRISTOPHER COORDINATES, IN THE EAST 1/2 OF THE NE 1/4 OF SECTION 26.",ROAD SHOULDER.,Road/trail construction/maint. | Wood cutting or brush clearing,FLAGGED AND AVOIDED DURING LOS PADRES NF BRUSHING PROJECT; HOWEVER SBA COUNTY ALSO REGULARLY MOWS THIS AREA.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,CITY OF SANTA BARBARA,8/21/2014 12:00:00 AM,Santa Barbara (3411946),11,254583,3819701
46,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,63,94687,93554,20110317,20110317,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3500,34.49151,-119.68327,Zone-11 N3819924 E253609,"T05N, R27W, Sec. 26, NW (S)","EAST CAMINO CIELO, APPROXIMATELY 0.4 AIR MILE EAST OF ITS JUNCTION WITH GIBRALTAR ROAD, SANTA YNEZ MOUNTAINS.","NORTH SIDE OF ROAD. MAPPED BY CNDDB ALONG EAST CAMINO CIELO ACCORDING TO 2011 CHRISTOPHER COORDINATES, IN THE NORTH 1/2 OF THE NW 1/4 OF SECTION 26.",ROAD SHOULDER.,Road/trail construction/maint. | Wood cutting or brush clearing,FLAGGED AND AVOIDED DURING LOS PADRES NF BRUSHING PROJECT; HOWEVER SBA COUNTY ALSO REGULARLY MOWS THIS AREA.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,CITY OF SANTA BARBARA,8/21/2014 12:00:00 AM,Santa Barbara (3411946),11,253609,3819924
47,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,64,94688,93555,20110318,20110318,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),3500,34.497,-119.6995,Zone-11 N3820573 E252134,"T05N, R27W, Sec. 22, SW (S)","ANGOSTURA PASS, JUST NORTH OF THE JUNCTION OF EAST CAMINO CIELO WITH THE SANTA BARBARA WATER TUNNEL, SANTA YNEZ MTNS.","MAPPED BY CNDDB ACCORDING TO 2011 CHRISTOPHER COORDINATES, IN THE SE 1/4 OF THE SW 1/4 OF SECTION 22.",,Road/trail construction/maint. | Wood cutting or brush clearing,FLAGGED AND AVOIDED DURING LOS PADRES NF BRUSHING PROJECT; BUT ROAD ALSO MAINTAINED BY OWNERS OF GIBRALTAR DAM.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,USFS-LOS PADRES NF,8/25/2014 12:00:00 AM,Santa Barbara (3411946),11,252134,3820573
