"","OBJECTID","Institution_Code","Catalog_Number","Scientific.Name","Collector","Collector_Num_Prefix","Collector_Num","Collector_Num_Suffix","early_J_date","late_J_date","Date_Collected","County","Elevation","Locality","Latitude","Longitude","Datum","Link_Back","Column1","Common.Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming.Period","Habitat","Micro.Habitat","Elevation.Low..m.","Elevation.Low..ft.","Elevation.High..m.","Elevation.High..ft.","CA.Endemic","States","Counties","Quads","EO.Total","EO.A","EO.B","EO.C","EO.D","EO.X","EO.U","EO.Historical","EO.Recent","EO.Extant","EO.Possibly.Extirpated","EO.Extirpated","Notes","Full.Scientific.Name","Synonyms","Element.Code","USDA.PLANTS.Symbol","Flora.Status","CBR.Reason","Date.Added","Date.Changed","Last.Update","X"
"239",11581,"UC","UC1136506","Suaeda taxifolia","J. E. Sowder","",235,"",2427516,2427516,"Mar 19 1934","Ventura","","3 mi nw Ventura; Ventura Quad.",34.3449,-119.382,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1136506"" target=""_blank"">View Details</a>",NA,"woolly seablite","Chenopodiaceae","perennial evergreen shrub","4.2","G4","S4","None","None","Jan-Dec","Coastal bluff scrub, Coastal dunes, Marshes and swamps (margins of coastal salt)","",0,0,50,165,FALSE,"BA, GU","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SLO, SNI, SRO, VEN","La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), San Pedro (3311863), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Point Mugu (3411911), Camarillo (3411921), Oxnard (3411922), Ventura (3411933), Pitas Point (3411934)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possibly threatened by urbanization, illegal dumping, and non-native plants.  See North American Flora 21:91 (1916) for original description.","Suaeda taxifolia (Standl.) Standl.","","PDCHE0P0L0","SUTA2",NA,NA,"1994-01-01","","2013-05-09",NA
"240",11590,"CAS-BOT-BC","CAS-BOT-BC159060","Phacelia ramosissima var. austrolitoralis","Henry M. Pollard","s.n.",NA,"",2438183,2438183,"June 2, 1963","Ventura","","Dune area of Taylor Ranch near Ventura River estuary, Ventura",34.282,-119.3076,"Terrain Nav. v. 8.7 (copied from SBBG70553)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC159060"" target=""_blank"">View Details</a>",NA,"south coast branching phacelia","Hydrophyllaceae","perennial herb","3.2","G5?T3Q","S3","None","None","Mar-Aug","Chaparral, Coastal dunes, Coastal scrub, Marshes and swamps (coastal salt)","sandy, sometimes rocky",5,15,300,985,FALSE,"BA","LAX, MNT, ORA, SBA, SDG, SLO, VEN","Del Mar (3211782), Rancho Santa Fe (3311712), Encinitas (3311713), San Luis Rey (3311723), Dana Point (3311746), San Juan Capistrano (3311756), Laguna Beach (3311757), Newport Beach (3311768), Anaheim (3311778), La Habra (3311788), Venice (3311884), Santa Cruz Island D (3311984), Santa Cruz Island B (3311986), San Miguel Island East (3312083), San Miguel Island West (3312084), Point Dume (3411817), Triunfo Pass (3411818), Point Mugu (3411911), Oxnard (3411922), Ventura (3411933), Carpinteria (3411945), Santa Barbara (3411946), Goleta (3411947), Dos Pueblos Canyon (3411948), Point Conception (3412044), Tranquillon Mtn. (3412055), Point Arguello (3412056), Lompoc (3412064), Surf (3412065), Zaca Lake (3412071), Orcutt (3412074), Casmalia (3412075), Nipomo (3512014), Oceano (3512015), Monterey (3612158)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previously on List 4.2.  Occurrences from MON and SLO counties may be misidentified.  Many collections old; need field surveys. Threatened by development.  Possibly threatened by non-native plants.  Characters distinguishing the varieties of P. ramosissima do not work most of the time; needs further study.  A synonym of P. ramosissima in TJM 2.","Phacelia ramosissima Lehm. var. austrolitoralis Munz","","PDHYD0C416","PHRAA",NA,NA,"2007-05-18","","2016-10-18",NA
"241",11615,"SBBG","SBBG84967","Eriogonum elegans","C. F. Smith","",8966,"",2435001,2435001,"15-Sep-1954","Ventura","","Sandstone Cmpgrd",34.6135,-119.367,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG84967"" target=""_blank"">View Details</a>",NA,"elegant wild buckwheat","Polygonaceae","annual herb","4.3","G4G5","S4S5","None","None","May-Nov","Cismontane woodland, Valley and foothill grassland","Usually sandy or gravelly, often washes, sometimes roadsides",200,655,1525,5005,TRUE,"","MNT, SBA, SBT, VEN","Dos Pueblos Canyon (3411948), Wheeler Springs (3411953), Lockwood Valley (3411961), Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Lompoc (3412064), San Miguel (3512076), Bradley (3512077), Parkfield (3512084), Stockdale Mountain (3512085), Smith Mountain (3612015), San Benito Mtn. (3612036), Bear Canyon (3612113), Lopez Point (3612115), Reliz Canyon (3612123), Bickmore Canyon (3612152), Seaside (3612157), Panoche Pass (3612161), Tres Pinos (3612173)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Similar to E. baileyi.  See Pittonia 2:161-216 (1891) for original description.","Eriogonum elegans Greene","","PDPGN081Y0","EREL8",NA,NA,"2011-12-19","","2019-03-26",NA
"242",11629,"UCSB","UCSB11507","Quercus dumosa","D. Breedlove","",1341,"",2437651,2437651,"Dec 17 1961","Santa Barbara","2500 ft","1 MI ABOVE ESCONDIDO SPRING (JUNCAL DAM RD)",34.4797,-119.5729,"NAD83","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB11507"" target=""_blank"">View Details</a>",NA,"Nuttall's scrub oak","Fagaceae","perennial evergreen shrub","1B.1","G3","S3","None","None","Feb-Apr(May-Aug)","Closed-cone coniferous forest, Chaparral, Coastal scrub","sandy, clay loam",15,45,400,1310,FALSE,"BA","LAX, ORA, SBA, SDG, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), Margarita Peak (3311744), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Hollywood (3411813), Beverly Hills (3411814), Triunfo Pass (3411818), Newbury Park (3411828), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946)",180,11,14,14,3,3,135,47,133,177,1,2,"Threatened by development, fire suppression, and vegetation/fuels management.  Possibly threatened by hybridization with Q. berberidifolia.  Widespread scrub oak from much of cismontane CA, previously called Q. dumosa, is now Q. berberidifolia.","Quercus dumosa Nutt.","","PDFAG050D0","QUDU",NA,NA,"1994-01-01","","2012-05-17",NA
"243",11673,"SBBG","SBBG67663","Polygala cornuta var. fishiae","R. Hoffmann","",NA,"",2424316,2424316,"14-Jun-1925","Ventura","","Matilija Hot Springs",34.4834,-119.3044,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG67663"" target=""_blank"">View Details</a>",NA,"Fish's milkwort","Polygalaceae","perennial deciduous shrub","4.3","G5T4","S4","None","None","May-Aug","Chaparral, Cismontane woodland, Riparian woodland","",100,325,1000,3280,FALSE,"BA","LAX, ORA, RIV, SBA, SDG, VEN","Barrett Lake (3211666), Dulzura (3211667), Viejas Mountain (3211676), Alpine (3211677), San Pasqual (3311618), Mesa Grande (3311627), Rodriquez Mtn. (3311628), Palomar Observatory (3311637), Boucher Hill (3311638), Las Pulgas Canyon (3311734), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Santiago Peak (3311765), Corona South (3311775), Black Star Canyon (3311776), Ojai (3411942)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Includes P. cornuta var. pollardii.","Polygala cornuta Kell. var. fishiae (Parry) Jeps.","Polygala cornuta var. pollardii","PDPGL020B2","POCOF",NA,NA,"1974-01-01","","2010-03-15",NA
"244",11694,"SBBG","SBBG102782","Juglans californica","H. M. Pollard","",NA,"",2433834,2433834,"6-Jul-1951","Santa Barbara","","Sycamore Cyn Rd at Chelham Way, foothills N of Santa Barbara",34.439,-119.675,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG102782"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
"245",11712,"UC","UC527205","Suaeda taxifolia","C. B. Wolf","",2045,"",2426476,2426476,"May 14 1931","Ventura","6 m","11 mi n Ventura",34.368792,-119.453457,"WGS84","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC527205"" target=""_blank"">View Details</a>",NA,"woolly seablite","Chenopodiaceae","perennial evergreen shrub","4.2","G4","S4","None","None","Jan-Dec","Coastal bluff scrub, Coastal dunes, Marshes and swamps (margins of coastal salt)","",0,0,50,165,FALSE,"BA, GU","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SLO, SNI, SRO, VEN","La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), San Pedro (3311863), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Point Mugu (3411911), Camarillo (3411921), Oxnard (3411922), Ventura (3411933), Pitas Point (3411934)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possibly threatened by urbanization, illegal dumping, and non-native plants.  See North American Flora 21:91 (1916) for original description.","Suaeda taxifolia (Standl.) Standl.","","PDCHE0P0L0","SUTA2",NA,NA,"1994-01-01","","2013-05-09",NA
"246",11745,"CAS-BOT-BC","CAS-BOT-BC167831","Polygala cornuta var. fishiae","Henry M. Pollard","s.n.",NA,"",2439652,2439652,"June 10, 1967","Ventura","","Shaded north side of Casitas Pass Road between Casitas Dam and Foster Park",34.363,-119.3203,"Terrain Nav. v. 8.7 (copied from SBBG27728)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC167831"" target=""_blank"">View Details</a>",NA,"Fish's milkwort","Polygalaceae","perennial deciduous shrub","4.3","G5T4","S4","None","None","May-Aug","Chaparral, Cismontane woodland, Riparian woodland","",100,325,1000,3280,FALSE,"BA","LAX, ORA, RIV, SBA, SDG, VEN","Barrett Lake (3211666), Dulzura (3211667), Viejas Mountain (3211676), Alpine (3211677), San Pasqual (3311618), Mesa Grande (3311627), Rodriquez Mtn. (3311628), Palomar Observatory (3311637), Boucher Hill (3311638), Las Pulgas Canyon (3311734), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Santiago Peak (3311765), Corona South (3311775), Black Star Canyon (3311776), Ojai (3411942)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Includes P. cornuta var. pollardii.","Polygala cornuta Kell. var. fishiae (Parry) Jeps.","Polygala cornuta var. pollardii","PDPGL020B2","POCOF",NA,NA,"1974-01-01","","2010-03-15",NA
"247",11783,"RSA","RSA202294","Quercus dumosa","P. A. Munz","",13200,"",2427559,2427559,"1934-05-01","Ventura","1372m","Upper Sespe Creek, north of Wheeler Hot Springs.",34.626111,-119.411944,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA202294"" target=""_blank"">View Details</a>",NA,"Nuttall's scrub oak","Fagaceae","perennial evergreen shrub","1B.1","G3","S3","None","None","Feb-Apr(May-Aug)","Closed-cone coniferous forest, Chaparral, Coastal scrub","sandy, clay loam",15,45,400,1310,FALSE,"BA","LAX, ORA, SBA, SDG, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), Margarita Peak (3311744), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Hollywood (3411813), Beverly Hills (3411814), Triunfo Pass (3411818), Newbury Park (3411828), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946)",180,11,14,14,3,3,135,47,133,177,1,2,"Threatened by development, fire suppression, and vegetation/fuels management.  Possibly threatened by hybridization with Q. berberidifolia.  Widespread scrub oak from much of cismontane CA, previously called Q. dumosa, is now Q. berberidifolia.","Quercus dumosa Nutt.","","PDFAG050D0","QUDU",NA,NA,"1994-01-01","","2012-05-17",NA
"248",11826,"SBBG","SBBG1226","Suaeda taxifolia","R. Hoffmann","",NA,"",2425022,2425022,"21-May-1927","Ventura","","Ventura",34.277,-119.3075,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG1226"" target=""_blank"">View Details</a>",NA,"woolly seablite","Chenopodiaceae","perennial evergreen shrub","4.2","G4","S4","None","None","Jan-Dec","Coastal bluff scrub, Coastal dunes, Marshes and swamps (margins of coastal salt)","",0,0,50,165,FALSE,"BA, GU","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SLO, SNI, SRO, VEN","La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), San Pedro (3311863), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Point Mugu (3411911), Camarillo (3411921), Oxnard (3411922), Ventura (3411933), Pitas Point (3411934)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possibly threatened by urbanization, illegal dumping, and non-native plants.  See North American Flora 21:91 (1916) for original description.","Suaeda taxifolia (Standl.) Standl.","","PDCHE0P0L0","SUTA2",NA,NA,"1994-01-01","","2013-05-09",NA
"249",11829,"SBBG","SBBG122044","Juglans californica","R. Burgess, P. Munro","",1469,"",2449769,2449769,"20-Feb-1995","Ventura","152 m","Sulphur Mtn Rd, 0.8 mi from Hwy 33",34.379,-119.2935,"","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG122044"" target=""_blank"">View Details</a>",NA,"Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial",50,160,900,2955,TRUE,"","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA",NA,NA,"1994-01-01","","2015-07-23",NA
"250",11843,"UCSB","UCSB58992","Caulanthus lemmonii","Magney, David; Burgess, Rick","",NA,"",2446575,2446575,"1986-05-24","Ventura","1447 m","12 miles N of Ojai, western Transverse Ranges; T5N, R23W, S. 1, 2, & 3, Wheeler Springs Quadrangle; Basin 2B",34.5416667,-119.2666667,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB58992"" target=""_blank"">View Details</a>",NA,"Lemmon's jewelflower","Brassicaceae","annual herb","1B.2","G3","S3","None","None","Feb-May","Pinyon and juniper woodland, Valley and foothill grassland","",80,260,1580,5185,TRUE,"","ALA, FRE, KNG, KRN, MER, MNT, SBA, SBT, SJQ, SLO, STA, VEN","Frazier Mtn. (3411878), Wheeler Springs (3411953), Rancho Nuevo Creek (3411964), Apache Canyon (3411973), Cuyama Peak (3411974), Salisbury Potrero (3411976), Pleito Hills (3411981), Ballinger Canyon (3411984), Cuyama (3411985), New Cuyama (3411986), Mettler (3511818), Maricopa (3511914), Wells Ranch (3511916), Caliente Mtn. (3511917), Taylor Canyon (3511918), Painted Rock (3511927), Chimineas Ranch (3511928), McKittrick Summit (3511937), La Panza (3512032), Pozo Summit (3512033), La Panza NE (3512041), La Panza Ranch (3512042), Camatta Ranch (3512043), Wilson Corner (3512044), Packwood Creek (3512051), Holland Canyon (3512052), Templeton (3512056), Orchard Peak (3512062), Cholame (3512063), Shandon (3512064), Paso Robles (3512066), Adelaida (3512067), Tent Hills (3512072), Cholame Valley (3512073), Ranchito Canyon (3512075), San Miguel (3512076), Bradley (3512077), Tierra Redonda Mountain (3512078), Garza Peak (3512082), Stockdale Mountain (3512085), Hames Valley (3512088), Williams Hill (3512181), Avenal (3612012), Curry Mountain (3612014), Monarch Peak (3612027), Nattrass Valley (3612028), Hepsedam Peak (3612037), Lonoak (3612038), Lillis Ranch (3612044), Ciervo Mtn. (3612045), Panoche (3612057), Ortigalita Peak NW (3612088), Junipero Serra Peak (3612124), Paraiso Springs (3612133), Sycamore Flat (3612134), North Chalone Peak (3612142), Patterson (3712142), Solyo (3712153), Lone Tree Creek (3712154), Cedar Mtn. (3712155), Midway (3712165)",91,7,8,2,1,0,73,57,34,91,0,0,"Need quads for SBT Co.  Threatened by development, grazing, and vehicles.  See Proceedings of the American Academy of Arts and Sciences 23:261 (1888) for original description, and Aliso 4(3):503 (1960) for revised nomenclature.","Caulanthus lemmonii S. Watson","Caulanthus coulteri var. lemmonii","PDBRA0M0E0","CALE25",NA,NA,"2001-01-01","","2015-07-24",NA
"251",11852,"CAS-BOT-BC","CAS-BOT-BC167833","Polygala cornuta var. fishiae","Henry M. Pollard","s.n.",NA,"",2440428,2440428,"July 25, 1969","Ventura","","Ventura River floodplain, 1/4 mile N of Baldwin Road, Ojai Valley",34.428,-119.301,"Terrain Nav. v. 8.7 (copied from SBBG35516)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC167833"" target=""_blank"">View Details</a>",NA,"Fish's milkwort","Polygalaceae","perennial deciduous shrub","4.3","G5T4","S4","None","None","May-Aug","Chaparral, Cismontane woodland, Riparian woodland","",100,325,1000,3280,FALSE,"BA","LAX, ORA, RIV, SBA, SDG, VEN","Barrett Lake (3211666), Dulzura (3211667), Viejas Mountain (3211676), Alpine (3211677), San Pasqual (3311618), Mesa Grande (3311627), Rodriquez Mtn. (3311628), Palomar Observatory (3311637), Boucher Hill (3311638), Las Pulgas Canyon (3311734), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Santiago Peak (3311765), Corona South (3311775), Black Star Canyon (3311776), Ojai (3411942)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Includes P. cornuta var. pollardii.","Polygala cornuta Kell. var. fishiae (Parry) Jeps.","Polygala cornuta var. pollardii","PDPGL020B2","POCOF",NA,NA,"1974-01-01","","2010-03-15",NA
"252",11868,"UCR","UCR168310","Suaeda taxifolia","H. M. Pollard","s.n.",NA,"",2440175,2440175,"1968-Nov-14","Ventura","3 m","Ventura, base of maritime bluff on Alssandro Avenue near Peirpont Inn",34.27361,-119.28472,"not recorded","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR168310"" target=""_blank"">View Details</a>",NA,"woolly seablite","Chenopodiaceae","perennial evergreen shrub","4.2","G4","S4","None","None","Jan-Dec","Coastal bluff scrub, Coastal dunes, Marshes and swamps (margins of coastal salt)","",0,0,50,165,FALSE,"BA, GU","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SLO, SNI, SRO, VEN","La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), San Pedro (3311863), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Point Mugu (3411911), Camarillo (3411921), Oxnard (3411922), Ventura (3411933), Pitas Point (3411934)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possibly threatened by urbanization, illegal dumping, and non-native plants.  See North American Flora 21:91 (1916) for original description.","Suaeda taxifolia (Standl.) Standl.","","PDCHE0P0L0","SUTA2",NA,NA,"1994-01-01","","2013-05-09",NA
"253",11952,"CAS-BOT-BC","CAS-BOT-BC110454","Suaeda taxifolia","Henry M. Pollard","s.n.",NA,"",2440167,2440167,"November 6, 1968","Ventura","","Prince Barranca between Southern Pacific R.R. and Pierpont Inn, Ventura.",34.2755,-119.2827,"Terrain Nav. v. 8.7 (copied from SBBG30473)","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC110454"" target=""_blank"">View Details</a>",NA,"woolly seablite","Chenopodiaceae","perennial evergreen shrub","4.2","G4","S4","None","None","Jan-Dec","Coastal bluff scrub, Coastal dunes, Marshes and swamps (margins of coastal salt)","",0,0,50,165,FALSE,"BA, GU","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SLO, SNI, SRO, VEN","La Jolla (3211772), Del Mar (3211782), San Clemente Island North (3211885), San Onofre Bluff (3311735), San Clemente (3311745), Dana Point (3311746), San Pedro (3311863), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Point Mugu (3411911), Camarillo (3411921), Oxnard (3411922), Ventura (3411933), Pitas Point (3411934)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Possibly threatened by urbanization, illegal dumping, and non-native plants.  See North American Flora 21:91 (1916) for original description.","Suaeda taxifolia (Standl.) Standl.","","PDCHE0P0L0","SUTA2",NA,NA,"1994-01-01","","2013-05-09",NA
"254",11985,"RSA","RSA16109","Quercus dumosa","Carl B. Wolf","",6946,"",2427945,2427945,"1935-05-22","Ventura","1372m","Ojai to Cuyama Valley Road, Pine Mountain, Upper Sespe Creek, 3 miles south of summit of Pine Mountain grade.",34.619332,-119.372413,"WGS84","<a href=""https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA16109"" target=""_blank"">View Details</a>",NA,"Nuttall's scrub oak","Fagaceae","perennial evergreen shrub","1B.1","G3","S3","None","None","Feb-Apr(May-Aug)","Closed-cone coniferous forest, Chaparral, Coastal scrub","sandy, clay loam",15,45,400,1310,FALSE,"BA","LAX, ORA, SBA, SDG, VEN","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), Margarita Peak (3311744), Dana Point (3311746), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Laguna Beach (3311757), Hollywood (3411813), Beverly Hills (3411814), Triunfo Pass (3411818), Newbury Park (3411828), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946)",180,11,14,14,3,3,135,47,133,177,1,2,"Threatened by development, fire suppression, and vegetation/fuels management.  Possibly threatened by hybridization with Q. berberidifolia.  Widespread scrub oak from much of cismontane CA, previously called Q. dumosa, is now Q. berberidifolia.","Quercus dumosa Nutt.","","PDFAG050D0","QUDU",NA,NA,"1994-01-01","","2012-05-17",NA
