"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Ceanothus impressus var. impressus","Santa Barbara ceanothus","Rhamnaceae","perennial shrub","1B.2","G3T2","S2","None","None","Feb-Apr","Chaparral","sandy","40","130","470","1540","F","","SBA","Tranquillon Mtn. (3412055), Lompoc (3412064), Surf (3412065), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086)","","","","","","","","","","","","","Possibly threatened by development, non-native plants, and road and trail construction and maintenance. See Proceedings of the California Academy of Sciences, Series 2 1(8):112 (1888) for original description and Ceanothus pp. 219-220 (1942) by H. McMinn for revised nomenclature.","Ceanothus impressus Trel. var. impressus","","","CEIMI","","","2006-01-10","changed from CBR to 1B.2 on 2019-05-16","2019-05-16",
"Ceanothus impressus var. impressus","Santa Barbara ceanothus","Rhamnaceae","perennial shrub","1B.2","G3T2","S2","None","None","Feb-Apr","Chaparral","sandy","40","130","470","1540","F","","SBA","Tranquillon Mtn. (3412055), Lompoc (3412064), Surf (3412065), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086)","","","","","","","","","","","","","Possibly threatened by development, non-native plants, and road and trail construction and maintenance. See Proceedings of the California Academy of Sciences, Series 2 1(8):112 (1888) for original description and Ceanothus pp. 219-220 (1942) by H. McMinn for revised nomenclature.","Ceanothus impressus Trel. var. impressus","","","","","","2019-05-16","","2019-05-16",
"Ceanothus impressus var. nipomensis","Nipomo Mesa ceanothus","Rhamnaceae","perennial shrub","1B.2","G3T2","S2","None","None","Feb-Apr","Chaparral","sandy","30","95","245","805","F","","SBA, SLO","Lompoc (3412064), Casmalia (3412075), Nipomo (3512014), Oceano (3512015), Arroyo Grande NE (3512025), Pismo Beach (3512026)","","","","","","","","","","","","","Possibly threatened by development and non-native plants. See Ceanothus pp. 219-220 (1942) by H. McMinn for original description.","Ceanothus impressus Trel. var. nipomensis McMinn","","","CEIMN","","","2006-01-10","changed from CBR to 1B.2 on 2019-05-16","2019-05-16",
"Centromadia parryi ssp. australis","southern tarplant","Asteraceae","annual herb","1B.1","G3T2","S2","None","None","May-Nov","Marshes and swamps (margins), Valley and foothill grassland (vernally mesic), Vernal pools","","0","0","480","1575","F","BA","LAX, ORA, SBA, SCT, SDG, VEN","Del Mar (3211782), Ramona (3311617), San Pasqual (3311618), Escondido (3311711), San Marcos (3311722), Morro Hill (3311733), Canada Gobernadora (3311755), Laguna Beach (3311757), Tustin (3311767), Newport Beach (3311768), Orange (3311777), Anaheim (3311778), Yorba Linda (3311787), Santa Catalina East (3311833), Seal Beach (3311861), Los Alamitos (3311871), Long Beach (3311872), Torrance (3311873), South Gate (3311882), Inglewood (3311883), Venice (3311884), Baldwin Park (3411718), El Monte (3411811), Hollywood (3411813), Beverly Hills (3411814), Pasadena (3411822), Van Nuys (3411824), Newbury Park (3411828), Sunland (3411833), Pitas Point (3411934), Goleta (3411947), Dos Pueblos Canyon (3411948)","94","3","17","11","4","10","49","49","45","84","4","6","Need confirmation of SCT Isl. occurrences.  Many ORA Co. occurrences recently extirpated.  Many historical occurrences also extirpated; need information.  Population fragmentation a serious problem, and plant continues to be threatened by urbanization, vehicles, development, foot traffic, grazing, habitat disturbance, and competition from non-native plants.  A synonym of Hemizonia parryi ssp. australis in TJM (1993).  See Madroño 3(1):15 (1935) for original description, and Novon 9:462-471 (1999) for revised nomenclature.","Centromadia parryi (Greene) Greene ssp. australis (Keck) B.G. Baldwin","Hemizonia parryi ssp. australis","PDAST4R0P4","CEPAA","","","1994-01-01","","2013-10-04",
"Cercocarpus betuloides var. blancheae","island mountain-mahogany","Rosaceae","perennial evergreen shrub","4.3","G5T4","S4","None","None","Feb-May","Closed-cone coniferous forest, Chaparral","","30","95","600","1970","T","","LAX, SCT, SCZ, SRO, VEN","Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Topanga (3411815), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Thousand Oaks (3411827), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Val Verde (3411846), Acton (3411846), Acton (3411846), Val Verde (3411846), Santa Barbara (3411946), Little Pine Mtn. (3411956), Lompoc (3412064), San Luis Obispo (3512036)","","","","","","","","","","","","","Does plant occur on other Channel Islands?  Threatened by development.","Cercocarpus betuloides T. & G. var. blancheae (C. Schneider) Little","","PDROS08022","CEMOB","","","1974-01-01","","2014-08-08",
"Chaenactis glabriuscula var. orcuttiana","Orcutt's pincushion","Asteraceae","annual herb","1B.1","G5T1T2","S1","None","None","Jan-Aug","Coastal bluff scrub (sandy), Coastal dunes","","0","0","100","330","F","BA","LAX, ORA, SDG, VEN","Imperial Beach (3211751), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), Julian (3311615), Encinitas (3311713), San Luis Rey (3311723), Oceanside (3311724), Fallbrook (3311743), Dana Point (3311746), San Juan Capistrano (3311756), Laguna Beach (3311757), Venice (3311884), Triunfo Pass (3411818), Ventura (3411933)","36","0","1","6","0","9","20","19","17","27","9","0","Threatened by development, foot traffic and recreation.  See Western American Scientist 3:157 (1887) for original description, and University of California Publications in Botany 3:192 (1907) for revised nomenclature.","Chaenactis glabriuscula DC. var. orcuttiana (Greene) Hall","","PDAST20095","CHGLO","","","2001-01-01","","2016-06-07",
"Chenopodium littoreum","coastal goosefoot","Chenopodiaceae","annual herb","1B.2","G1","S1","None","None","Apr-Aug","Coastal dunes","","10","30","30","100","T","","LAX, SBA, SLO","Venice (3311884), Surf (3412065), Casmalia (3412075), Oceano (3512015), Morro Bay South (3512037)","13","0","0","0","0","1","12","8","5","12","0","1","Possibly threatened by recreational activities, vehicles, and non-native plants.  Previously identified as C. carnosulum var. patagonicum.  See Madroño 57(1):64-72 (2010) for original description.","Chenopodium littoreum Benet-Pierce & M.G. Simpson","","PDCHE091Z0","CHLI11","","","2011-06-01","","2013-01-10",
"Chloropyron maritimum ssp. maritimum","salt marsh bird's-beak","Orobanchaceae","annual herb (hemiparasitic)","1B.2","G4?T1","S1","CE","FE","May-Oct(Nov)","Coastal dunes, Marshes and swamps (coastal salt)","","0","0","30","100","F","BA","LAX, ORA, SBA, SBD, SDG, SLO, VEN","Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), Aguanga (3311647), Newport Beach (3311768), Seal Beach (3311861), Los Alamitos (3311871), Long Beach (3311872), Venice (3311884), San Bernardino South (3411713), Beverly Hills (3411814), Topanga (3411815), Point Mugu (3411911), Oxnard (3411922), White Ledge Peak (3411944), Carpinteria (3411945), Morro Bay South (3512037)","30","0","8","3","1","12","6","14","16","18","10","2","Threatened by vehicles, road construction, hydrological alterations, recreational activities, foot traffic, non-native plants, and loss of salt marsh habitat.  See Madroño 31(3):185-190 (1984) for information on parasitism.","Chloropyron maritimum (Benth.) A. Heller ssp. maritimum","Cordylanthus maritimus ssp. maritimus","PDSCR0J0C2","","","","1974-01-01","","2011-03-03",
"Chorizanthe blakleyi","Blakley's spineflower","Polygonaceae","annual herb","1B.3","G2","S2","None","None","Apr-Jun","Chaparral, Pinyon and juniper woodland","","600","1965","1600","5250","T","","SBA, VEN","Reyes Peak (3411963), Rancho Nuevo Creek (3411964), Salisbury Potrero (3411976), Hurricane Deck (3411977), New Cuyama (3411986), Peak Mountain (3411987), Bates Canyon (3411988), Zaca Lake (3412071), Foxen Canyon (3412072), Caliente Mtn. (3511917)","12","0","3","1","0","0","8","9","3","12","0","0","Possibly threatened by vehicles, recreation, road maintenance, grazing, trampling, and non-native plants.  Closely related to C. palmeri.  See Leaflets of Western Botany 10:95 (1964) for original description, and Phytologia 66(2):141-142 (1989) for taxonomic treatment.","Chorizanthe blakleyi Hardham","","PDPGN04030","CHBL","","","1974-01-01","","2010-03-15",
"Chorizanthe palmeri","Palmer's spineflower","Polygonaceae","annual herb","4.2","G4","S4","None","None","Apr-Aug","Chaparral, Cismontane woodland, Valley and foothill grassland","rocky, serpentinite","55","180","945","3100","T","","MNT, SBA, SBT, SLO","Santa Barbara (3411946), Goleta (3411947), Tranquillon Mtn. (3412055), Casmalia (3412075), Guadalupe (3412085), Lake Isabella South (3511854), Oceano (3512015), Tar Spring Ridge (3512024), Arroyo Grande NE (3512025), Pismo Beach (3512026), Port San Luis (3512027), Santa Margarita Lake (3512034), Lopez Mtn. (3512035), San Luis Obispo (3512036), Morro Bay South (3512037), Atascadero (3512046), Morro Bay North (3512047), Cayucos (3512048), Shedd Canyon (3512054), Templeton (3512056), York Mountain (3512057), Cypress Mountain (3512058), Paso Robles (3512066), Pebblestone Shut-in (3512161), San Simeon (3512162), Piedras Blancas (3512163), Bryson (3512171), Burnett Peak (3512172), Burro Mountain (3512173), Villa Creek (3512174), Williams Hill (3512181), Jolon (3512182), Alder Peak (3512183), Cape San Martin (3512184), Cone Peak (3612114), Lopez Point (3612115)","","","","","","","","","","","","","Does plant occur in SBT Co.?  Isolated populations show local differences.  Taxonomic revision in Phytologia 66(4):295-441 (1989) indicates species occurs mainly in the Santa Lucia Mtns. of MNT and SLO counties.  See Proceedings of the American Academy of Arts and Sciences 12:271 (1877) for original description, and Phytologia 66(2):135-137 (1989) for taxonomic treatment.","Chorizanthe palmeri Wats.","","PDPGN040H0","CHPA8","","","1994-01-01","","2016-03-23",
"Chorizanthe parryi var. fernandina","San Fernando Valley spineflower","Polygonaceae","annual herb","1B.1","G2T1","S1","CE","FC","Apr-Jul","Coastal scrub (sandy), Valley and foothill grassland","","150","490","1220","4005","T","","LAX, ORA, VEN","Black Star Canyon (3311776), Orange (3311777), Venice (3311884), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Calabasas (3411826), Sunland (3411833), San Fernando (3411834), Oat Mountain (3411835), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Lake Hughes (3411864)","21","1","2","9","0","9","0","9","12","12","9","0","Rediscovered in 1999.  Most historical habitat is now heavily urbanized. Seriously threatened by development and non-native plants.  See Botany of California 2:481 (1880) for original description, Phytologia 66(2):147-149 (1989) for taxonomic treatment, and Madrono 48(2):78 (2001) for rediscovery.","Chorizanthe parryi Wats. var. fernandina (Wats.) Jeps.","","PDPGN040J1","CHPAF","","","1974-01-01","","2017-05-31",
"Chorizanthe polygonoides var. longispina","long-spined spineflower","Polygonaceae","annual herb","1B.2","G5T3","S3","None","None","Apr-Jul","Chaparral, Coastal scrub, Meadows and seeps, Valley and foothill grassland, Vernal pools","often clay","30","95","1530","5020","F","BA","ORA, RIV, SBA, SDG","Tierra Del Sol (3211653), Otay Mesa (3211658), Live Oak Springs (3211663), Cameron Corners (3211664), Barrett Lake (3211666), Jamul Mountains (3211668), Descanso (3211675), Viejas Mountain (3211676), El Cajon (3211678), Monument Peak (3211684), Cuyamaca Peak (3211685), El Cajon Mtn. (3211687), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Julian (3311615), Santa Ysabel (3311616), Ramona (3311617), Warners Ranch (3311626), Mesa Grande (3311627), Hot Springs Mtn. (3311635), Warner Springs (3311636), Beauty Mountain (3311646), Aguanga (3311647), Vail Lake (3311648), Butterfly Peak (3311655), Sage (3311658), Palm View Peak (3311665), Idyllwild (3311666), Hemet (3311668), Encinitas (3311713), Pechanga (3311741), Temecula (3311742), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Bachelor Mtn. (3311751), Murrieta (3311752), Wildomar (3311753), Sitton Peak (3311754), Winchester (3311761), Romoland (3311762), Lake Elsinore (3311763), Alberhill (3311764), Perris (3311772), Steele Peak (3311773), Lake Mathews (3311774), Black Star Canyon (3311776), Carpinteria (3411945)","166","6","31","5","1","3","120","39","127","163","0","3","Much habitat already lost to development; also threatened by non-native grasses and recreational activities.  Possibly threatened by vehicles and grazing.  See Leaflets of Western Botany 7(10):236 (1955) for original description, and Phytologia 66(2):176-179 (1989) for taxonomic treatment.","Chorizanthe polygonoides T. & G. var. longispina (Goodm.) Munz","","PDPGN040K1","CHPOL","","","1994-01-01","","2010-03-15",
"Chorizanthe rectispina","straight-awned spineflower","Polygonaceae","annual herb","1B.3","G2","S2","None","None","Apr-Jul","Chaparral, Cismontane woodland, Coastal scrub","","85","275","1035","3395","T","","MNT, SBA, SLO","New Cuyama (3411986), Lompoc (3412064), Surf (3412065), Sisquoc (3412073), Casmalia (3412075), Huasna Peak (3512013), Branch Mtn. (3512021), Caldwell Mesa (3512023), Arroyo Grande NE (3512025), Lopez Mtn. (3512035), San Luis Obispo (3512036), Camatta Ranch (3512043), Wilson Corner (3512044), Santa Margarita (3512045), Atascadero (3512046), San Miguel (3512076), Bradley (3512077), Hames Valley (3512088), Williams Hill (3512181), Jolon (3512182)","38","3","12","4","0","1","18","16","22","37","1","0","Possibly threatened by development and non-native plants.  See Annals of the Missouri Botanical Garden 21:72 (1934) for original description, and Phytologia 66(2):143 (1989) for taxonomic treatment.","Chorizanthe rectispina Goodm.","","PDPGN040N0","CHRE","","","1974-01-01","","2014-08-08",
"Cicuta maculata var. bolanderi","Bolander's water-hemlock","Apiaceae","perennial herb","2B.1","G5T4T5","S2?","None","None","Jul-Sep","Marshes and swamps Coastal, fresh or brackish water","","0","0","200","655","F","AZ, NM, WA","CCA, MRN, SAC, SBA, SOL","Casmalia (3412075), Jersey Island (3812116), Antioch North (3812117), Honker Bay (3812118), Bruceville (3812134), Dozier (3812137), Benicia (3812212), Inverness (3812217), Drakes Bay (3812218), Fairfield South (3812221), Tomales (3812228)","17","0","2","1","0","0","14","11","6","17","0","0","Threatened by development, non-native plants, and hydrological alterations.","Cicuta maculata L. var. bolanderi (S. Watson) G.A. Mulligan","","PDAPI0M051","CIMAB","","","1974-01-01","","2019-02-06",
"Cirsium occidentale var. compactum","compact cobwebby thistle","Asteraceae","perennial herb","1B.2","G3G4T2","S2","None","None","Apr-Jun","Chaparral, Coastal dunes, Coastal prairie, Coastal scrub","","5","15","150","490","T","","LAX, MNT, SBA, SFO, SLO","Santa Catalina East (3311833), Santa Rosa Island South (3312071), Santa Rosa Island North (3312081), Santa Rosa Island West (3312082), San Miguel Island East (3312083), San Miguel Island West (3312084), Point Sal (3412086), Cayucos (3512048), Cambria (3512151), Pico Creek (3512152), San Simeon (3512162), Piedras Blancas (3512163), Pfeiffer Point (3612127), Big Sur (3612137), Point Sur (3612138), San Francisco South (3712264)","30","1","3","3","1","1","21","20","10","29","1","0","Threatened by grazing and insect predation, and potentially by road construction and development.  Some inland plants weakly separated from var. occidentale.  Compact, low-growing plants from MNT Co. (344C) are probably not var. compactum.","Cirsium occidentale (Nutt.) Jeps. var. compactum Hoov.","","PDAST2E1Z1","CIOCC2","","","1974-01-01","","2019-04-18",
"Cirsium rhothophilum","Surf thistle","Asteraceae","perennial herb","1B.2","G1","S1","CT","None","Apr-Jun","Coastal bluff scrub, Coastal dunes","","3","5","60","195","T","","SBA, SLO","Point Conception (3412044), Tranquillon Mtn. (3412055), Point Arguello (3412056), Surf (3412065), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086), Oceano (3512015), Pismo Beach (3512026), Morro Bay South (3512037)","21","3","7","4","1","2","4","19","2","19","1","1","Threatened by vehicles, foot traffic, and non-native plants.  See Botanical Gazette 39:45 (1905) for original description.","Cirsium rhothophilum Blake","","PDAST2E2J0","CIRH","","","1974-01-01","","2010-03-15",
"Cirsium scariosum var. loncholepis","La Graciosa thistle","Asteraceae","perennial herb","1B.1","G5T1","S1","CT","FE","May-Aug","Cismontane woodland, Coastal dunes, Coastal scrub, Marshes and swamps (brackish), Valley and foothill grassland","mesic, sandy","4","10","220","720","T","","MNT, SBA, SLO","Surf (3412065), Sisquoc (3412073), Orcutt (3412074), Guadalupe (3412085), Point Sal (3412086), Oceano (3512015), Pismo Beach (3512026), San Luis Obispo (3512036)","22","0","3","2","1","14","2","14","8","8","12","2","Threatened by development, vehicles, groundwater pumping, and non-native plants.  Possibly threatened by grazing.","Cirsium scariosum Nutt. var. loncholepis (Petr.) D.J. Keil","Cirsium loncholepis","PDAST2E1N0","","","","1974-01-01","","2019-04-23",
"Cistanthe maritima","seaside cistanthe","Montiaceae","annual herb","4.2","G3G4","S3","None","None","(Feb)Mar-Jun(Aug)","Coastal bluff scrub, Coastal scrub, Valley and foothill grassland","sandy","5","15","300","985","F","BA","ANA, LAX, ORA, SBA, SBR, SCM, SCT, SCZ, SDG, SNI, SRO, VEN","Otay Mesa (3211658), Imperial Beach (3211751), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), San Clemente Island South (3211873), San Clemente Island Central (3211874), San Clemente Island North (3211885), Encinitas (3311713), Oceanside (3311724), Dana Point (3311746), Laguna Beach (3311757), Santa Catalina East (3311833), Santa Catalina North (3311844), Santa Catalina West (3311845), Santa Barbara Island (3311848), San Pedro (3311863), Redondo Beach (3311874), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Santa Rosa Island South (3312071), Santa Rosa Island North (3312081), Point Sal (3412086), San Rafael (3712285)","","","","","","","","","","","","","","Cistanthe maritima (Nutt.) Hershk.","Calandrinia maritima","PDPOR09020","CIMA4","","","1980-01-01","","2011-08-17",
"Cladium californicum","California sawgrass","Cyperaceae","perennial rhizomatous herb","2B.2","G4","S2","None","None","Jun-Sep","Meadows and seeps, Marshes and swamps Alkaline or Freshwater","","60","195","1600","5250","F","AZ, NM, NV, SO, TX, UT","INY, LAX, RIV, SBA, SBD, SLO","Durmid (3311547), Orocopia Canyon (3311557), Guasti (3411715), Ontario (3411716), Mt. Wilson (3411821), Sisquoc (3412073), Orcutt (3412074), Tecopa (3511672), Oceano (3512015), Hanaupah Canyon (3611628), Furnace Creek (3611647), Nevares Peak (3611657), Telescope Peak (3611721), Waucoba Canyon (3611788), Ubehebe Crater (3711714)","13","2","0","0","0","2","9","6","7","11","0","2","Potentially threatened by land use management conflicts at Vandenberg Air Force Base.  See  Botany of California  2: 224 (1880) for original description and  Flora of North America  23:242 (2000) for taxonomic treatment..","Cladium californicum (S. Watson) O'Neil","","PMCYP04010","CLCA2","","","2006-08-17","","2017-05-31",
"Clinopodium mimuloides","monkey-flower savory","Lamiaceae","perennial herb","4.2","G3","S3","None","None","Jun-Oct","Chaparral, North Coast coniferous forest","streambanks, mesic","305","1000","1800","5905","T","","LAX, MNT, SBA, SLO, VEN","Los Angeles (3411812), Pasadena (3411822), Chilao Flat (3411831), Condor Peak (3411832), Acton (3411846), Val Verde (3411846), Devils Heart Peak (3411858), Burnt Peak (3411865), Liebre Mtn. (3411866), Hildreth Peak (3411955), Madulce Peak (3411965), Big Pine Mtn. (3411966), San Rafael Mtn. (3411967), Hurricane Deck (3411977), Bald Mountain (3411978), Los Olivos (3412061), Tepusquet Canyon (3412082), San Luis Obispo (3512036), Bradley (3512077), Cambria (3512151), Pico Creek (3512152), Burnett Peak (3512172), Burro Mountain (3512173), Villa Creek (3512174), Jolon (3512182), Cape San Martin (3512184), Cone Peak (3612114), Junipero Serra Peak (3612124), Tassajara Hot Springs (3612125), Pfeiffer Point (3612127), Paraiso Springs (3612133), Chews Ridge (3612135), Ventana Cones (3612136)","","","","","","","","","","","","","See Satureja mimuloides in The Jepson Manual (1993).  See Rev. Gen. Pl. 2: 515 (1891) for revised nomenclature.","Clinopodium mimuloides (Benth.) Kuntze","","PDLAM1T040","CLMI9","","","2007-05-04","","2010-03-15",
"Comarostaphylis diversifolia ssp. diversifolia","summer holly","Ericaceae","perennial evergreen shrub","1B.2","G3T2","S2","None","None","Apr-Jun","Chaparral, Cismontane woodland","","30","95","790","2590","F","BA","ORA, RIV, SBA, SDG","Otay Mountain (3211657), Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), San Vicente Reservoir (3211688), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), Rodriquez Mtn. (3311628), Borrego Palm Canyon (3311634), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), Valley Center (3311721), San Marcos (3311722), San Luis Rey (3311723), Fallbrook (3311743), Margarita Peak (3311744), Dana Point (3311746), Sitton Peak (3311754), San Juan Capistrano (3311756), Laguna Beach (3311757), Santiago Peak (3311765)","117","4","14","7","5","5","82","45","72","112","4","1","Threatened by development, urbanization, and gravel mining.","Comarostaphylis diversifolia (Parry) Greene ssp. diversifolia","","PDERI0B011","CODID2","","","1980-01-01","","2015-03-24",
"Convolvulus simulans","small-flowered morning-glory","Convolvulaceae","annual herb","4.2","G4","S4","None","None","Mar-Jul","Chaparral (openings), Coastal scrub, Valley and foothill grassland","clay, serpentinite seeps","30","95","740","2430","F","BA","CCA, FRE, KRN, LAX, ORA, RIV, SBA, SBT, SCM, SCT, SCZ, SDG, SJQ, SLO, STA","Otay Mesa (3211658), Dulzura (3211667), Jamul Mountains (3211668), Alpine (3211677), El Cajon (3211678), San Vicente Reservoir (3211688), Imperial Beach (3211751), National City (3211761), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), San Clemente Island South (3211873), San Clemente Island Central (3211874), San Clemente Island North (3211885), San Pasqual (3311618), Vail Lake (3311648), Sage (3311658), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Morro Hill (3311733), Las Pulgas Canyon (3311734), Fallbrook (3311743), San Clemente (3311745), Bachelor Mtn. (3311751), Murrieta (3311752), Wildomar (3311753), Canada Gobernadora (3311755), San Juan Capistrano (3311756), Romoland (3311762), Lake Elsinore (3311763), Alberhill (3311764), Santiago Peak (3311765), Tustin (3311767), Steele Peak (3311773), Lake Mathews (3311774), Prado Dam (3311786), La Habra (3311788), San Pedro (3311863), Redondo Beach (3311874), Santa Cruz Island A (3311987), Redlands (3411712), Hollywood (3411813), Burbank (3411823), Calabasas (3411826), Thousand Oaks (3411827), Newbury Park (3411828), Simi (3411837), Matilija (3411943), Carpinteria (3411945), Santa Barbara (3411946), Little Pine Mtn. (3411956), Los Olivos (3412061), Zaca Lake (3412071), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086), Tejon Ranch (3511816), Tejon Hills (3511817), Pine Mountain (3511857), Knob Hill (3511858), La Panza NE (3512041), Cholame (3512063), Estrella (3512065), Tent Hills (3512072), Success Dam (3611818), Lindsay (3611921), Wahtoke (3611964), Pine Flat Dam (3611973), Piedra (3611974), Tumey Hills (3612056), Panoche (3612057), Chounet Ranch (3612066), Pinalito Canyon (3612131), Greenfield (3612132), Merced (3712034), Crevison Peak (3712122), Solyo (3712153), Byron Hot Springs (3712176), Antioch South (3712187), Antioch North (3812117)","","","","","","","","","","","","","Rare in southern CA.  Threatened by development and vehicles.  Possibly threatened by non-native plants.  See Rhodora 33:76 (1931) for original description.","Convolvulus simulans Perry","","PDCON05060","COEQ","","","1994-01-01","","2016-05-24",
"Cordylanthus rigidus ssp. littoralis","seaside bird's-beak","Orobanchaceae","annual herb (hemiparasitic)","1B.1","G5T2","S2","CE","None","Apr-Oct","Closed-cone coniferous forest, Chaparral (maritime), Cismontane woodland, Coastal dunes, Coastal scrub","sandy, often disturbed sites","0","0","515","1690","T","","MNT, SBA","Santa Ynez (3412051), Santa Rosa Hills (3412053), Lompoc Hills (3412054), Tranquillon Mtn. (3412055), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Orcutt (3412074), Casmalia (3412075), Mt. Carmel (3612147), Soberanes Point (3612148), Spreckels (3612156), Seaside (3612157), Monterey (3612158), Salinas (3612166), Marina (3612167), Prunedale (3612176), Moss Landing (3612177)","40","2","7","1","0","2","28","30","10","38","2","0","Threatened by development, energy projects, road widening, vehicles, and military operations.  Possibly threatened by non-native plants.  See Bulletin of the Torrey Botanical Club 45:399-423 (1918) for original description, and Systematic Botany Monographs 10:35-48 (1986) for taxonomic treatment.","Cordylanthus rigidus (Benth.) Jeps. ssp. littoralis (Ferris) Chuang & Heckard","Cordylanthus littoralis ssp. littoralis","PDSCR0J0P2","CORIL","","","1980-01-01","","2017-04-05",
"Deinandra increscens ssp. villosa","Gaviota tarplant","Asteraceae","annual herb","1B.1","G4G5T2","S2","CE","FE","May-Oct","Coastal bluff scrub, Coastal scrub, Valley and foothill grassland","","20","65","430","1410","T","","SBA","Tajiguas (3412041), Gaviota (3412042), Sacate (3412043), Point Conception (3412044), Lompoc Hills (3412054), Tranquillon Mtn. (3412055), Point Arguello (3412056), Surf (3412065), Casmalia (3412075), Santa Maria (3412084), Guadalupe (3412085), Point Sal (3412086)","23","0","8","3","1","0","11","5","18","23","0","0","Seriously threatened by energy development and non-native plants.  State and federally-listed as Hemizonia increscens ssp. villosa; see this name in TJM (1993).  See Systematic Botany 7(3):314-339 (1982) for original description, and Novon 9:462-471 (1999) for revised nomenclature.","Deinandra increscens (Keck) B.G. Baldwin ssp. villosa (Tanowitz) B.G. Baldwin","Hemizonia increscens ssp. villosa","PDAST4R0U3","DEINV3","","","1988-01-01","","2013-04-30",
"Deinandra minthornii","Santa Susana tarplant","Asteraceae","perennial deciduous shrub","1B.2","G2","S2","CR","None","Jul-Nov","Chaparral, Coastal scrub","rocky","280","915","760","2495","T","","LAX, VEN","Topanga (3411815), Malibu Beach (3411816), Point Dume (3411817), Triunfo Pass (3411818), Canoga Park (3411825), Calabasas (3411826), Thousand Oaks (3411827), Oat Mountain (3411835), Santa Susana (3411836)","30","5","12","3","0","0","10","14","16","30","0","0","Threatened by development.  Possibly threatened by non-native plants.  State-listed as Hemizonia minthornii; see this name in The Jepson Manual.  See Manual of the Flowering Plants of California, p. 1092 (1925) by W.L. Jepson for original description, and Novon 9:462-471 (1999) for revised nomenclature.","Deinandra minthornii (Jeps.) B.G. Baldwin","Hemizonia minthornii","PDAST4R0J0","DEMI4","","","1974-01-01","","2010-03-15",
